,userId,symbol,pnl,roe,createTimeStamp,updateTimeStamp,amount,date,timeInTrade
0,D64DDD2177FA081E3F361F70C703A562,AVAXUSDT,41354.61273856,0.2824,1648747518.029,1648901586.306,7223.0,2022-04-02 15:13:06.306,154068.277
0,D64DDD2177FA081E3F361F70C703A562,SOLUSDT,95621.23393812,0.4749,1648747493.333,1648901586.313,7338.0,2022-04-02 15:13:06.313,154092.98
0,D64DDD2177FA081E3F361F70C703A562,AAVEUSDT,14778.80026484,0.2879,1648818807.198,1648901675.649,2105.4,2022-04-02 15:14:35.649,82868.451
0,D64DDD2177FA081E3F361F70C703A562,API3USDT,-5076.76301949,-0.2628,1648318739.366,1648920662.674,7268.9,2022-04-02 20:31:02.674,601923.308
0,D64DDD2177FA081E3F361F70C703A562,ATOMUSDT,-135.78317326,-0.0006,1648923991.508,1649001398.74,29816.44,2022-04-03 18:56:38.740,77407.232
0,D64DDD2177FA081E3F361F70C703A562,SOLUSDT,7630.53913206,0.0377,1648957456.411,1649001468.455,7449.0,2022-04-03 18:57:48.455,44012.044
0,D64DDD2177FA081E3F361F70C703A562,NEARUSDT,18725.39860563,0.1543,1648957432.558,1649011418.136,30033.0,2022-04-03 21:43:38.136,53985.578
0,D64DDD2177FA081E3F361F70C703A562,AVAXUSDT,-24053.96992375,-0.0825,1648958788.219,1649011433.497,15119.0,2022-04-03 21:43:53.497,52645.278
0,D64DDD2177FA081E3F361F70C703A562,AAVEUSDT,-8146.07826945,-0.1975,1648985977.842,1649011907.687,1693.9,2022-04-03 21:51:47.687,25929.845
0,D64DDD2177FA081E3F361F70C703A562,ETCUSDT,-15200.26002815,-0.4879,1649039739.025,1649086282.227,6778.66,2022-04-04 18:31:22.227,46543.202
0,D64DDD2177FA081E3F361F70C703A562,DOGEUSDT,-399.89615889,-0.4465,1649069978.382,1649086710.179,62017.0,2022-04-04 18:38:30.179,16731.797
0,D64DDD2177FA081E3F361F70C703A562,AAVEUSDT,-21834.58119973,-0.4708,1649040062.992,1649086743.957,2019.1,2022-04-04 18:39:03.957,46680.965
0,D64DDD2177FA081E3F361F70C703A562,ROSEUSDT,-20874.67575875,-0.1006,1649053224.308,1649093088.378,1411925.0,2022-04-04 20:24:48.378,39864.07
0,D64DDD2177FA081E3F361F70C703A562,PEOPLEUSDT,-47415.30964549,-0.2117,1649040018.366,1649093105.226,6686717.0,2022-04-04 20:25:05.226,53086.86
0,D64DDD2177FA081E3F361F70C703A562,1000SHIBUSDT,9145.8484038,0.0858,1649603613.084,1650138331.814,16736844.0,2022-04-16 22:45:31.814,534718.73
0,D64DDD2177FA081E3F361F70C703A562,MTLUSDT,15184.06924425,0.0918,1649783623.333,1650202211.955,138273.0,2022-04-17 16:30:11.955,418588.622
0,D64DDD2177FA081E3F361F70C703A562,SOLUSDT,-8657.88405226,-0.0311,1649764594.387,1650209268.272,13282.0,2022-04-17 18:27:48.272,444673.885
0,D64DDD2177FA081E3F361F70C703A562,NEARUSDT,-89157.496008,-0.9,1649420735.931,1650635092.898,25975.0,2022-04-22 16:44:52.898,1214356.967
0,D64DDD2177FA081E3F361F70C703A562,DOGEUSDT,-104096.39318794,-1.1887,1649598716.72,1650635106.155,6450338.0,2022-04-22 16:45:06.155,1036389.435
0,D64DDD2177FA081E3F361F70C703A562,APEUSDT,599.57766144,0.1788,1652273341.785,1652294998.17,1152.0,2022-05-11 21:49:58.170,21656.385
0,D64DDD2177FA081E3F361F70C703A562,AVAXUSDT,44356.21989952,0.861,1652273519.413,1652295545.757,8201.0,2022-05-11 21:59:05.757,22026.344
0,D64DDD2177FA081E3F361F70C703A562,APEUSDT,29050.07482782,0.0812,1652697881.461,1652798880.047,82833.0,2022-05-17 17:48:00.047,100998.586
0,D64DDD2177FA081E3F361F70C703A562,AVAXUSDT,2670.90044328,0.0512,1652697843.303,1652810211.591,7836.0,2022-05-17 20:56:51.591,112368.288
0,D64DDD2177FA081E3F361F70C703A562,SOLUSDT,19508.1618592,0.0843,1652697818.078,1652815634.722,20860.0,2022-05-17 22:27:14.722,117816.644
0,D64DDD2177FA081E3F361F70C703A562,GMTUSDT,8626.568897,0.0475,1652969916.086,1653051609.298,516886.0,2022-05-20 16:00:09.298,81693.212
0,D64DDD2177FA081E3F361F70C703A562,APEUSDT,37560.2551128,0.0908,1652969664.889,1653325921.202,99729.0,2022-05-23 20:12:01.202,356256.313
0,D64DDD2177FA081E3F361F70C703A562,SOLUSDT,29249.7258553,0.1635,1652969628.688,1653325921.213,16790.0,2022-05-23 20:12:01.213,356292.525
0,D64DDD2177FA081E3F361F70C703A562,AVAXUSDT,37317.87515645,0.2666,1652969650.642,1653325936.368,21913.0,2022-05-23 20:12:16.368,356285.726
0,D64DDD2177FA081E3F361F70C703A562,SOLUSDT,31031.7394472,0.2263,1653543348.826,1653590465.208,-15320.0,2022-05-26 21:41:05.208,47116.382
0,D64DDD2177FA081E3F361F70C703A562,BNBUSDT,-10304.35466608,-0.0581,1653655511.753,1653657906.385,2910.81,2022-05-27 16:25:06.385,2394.632
0,D64DDD2177FA081E3F361F70C703A562,SOLUSDT,-4817.8805496,-0.05,1653655468.056,1653661279.153,11280.0,2022-05-27 17:21:19.153,5811.097
0,D64DDD2177FA081E3F361F70C703A562,AVAXUSDT,2373.53965772,0.0185,1653655439.88,1653661356.467,27643.0,2022-05-27 17:22:36.467,5916.587
